bar,item,price
"Scores","Lemon-Herb Roasted Chicken",18.5
"New Orleans Original Daiquiris","Phantom Punch Winter Stout",10.36
"YUMIS SUSHI BAR","Acidulated Trip",12.88
"Comedy Cellar","Shrimp Scampi",11.95
"Tweed's Pub Restaurant","Hot Spinach and Cheese Dip",11.95
"Double Olive Lounge","London Balling",10.73
"Friendly's","Buffalo Blasts",11.95
"Charles A. Meyer","Barney Flats Oatmeal Stout",1.42
"Hooters","Lemon Cream Cake",6.95
"Hurricane Alley","Best Brown",1.28
"Cheese Burger in Paradise","Devils Tramping Ground Tripel",8.36
"Opus Mainstreet","Frozen Cappuccino",4.95
"Benihana","Dolcini (mini dessert)",2.95
"Lanigan's Irish Pub & Eatery","Lucky Dog",6.15
"Modoggies Bar & Grill","Jack Pine Savage",6.41
"J R's Last Laugh Comedy Club","Peach-Mango Smoothie",4.95
"Hotshots Sports Bar & Grill","Acqua Panna Spring",2.95
"Don & Herb's Inc","Incredible Pedal IPA",4.65
"Kesler Sports Bar & Grill","Jamaican Black Pepper Chicken",17.95
"Applebee's","Cajun Chicken 'Littles'",15.5
"Big Al's","White Rascal",8.42
"Jonathan's Restaurant","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Charlie Brown's Steakhouse","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Shanahan's Lafayette","KSA",6.89
"Ruby Tuesday","Sundae",1.95
"For Pete's Sake","Bent Paddle Black Ale",2.43
"Brandy's","Quesadilla",9.95
"Applebee's","Jack Pine Savage",6.41
"For Pete's Sake","Bitter Bitch",8.16
"Jack's Place","Best Brown",1.28
"Off Broadway","Orange Chicken",16.95
"Texas Roadhouse","Unlimited Our Famous House Salad",6.95
"Monopole Restaurant","Five Italian Cheese Fonduta",7.95
"Grey Lounge","Dip Duo",1.95
"Village Inn","Acidulated Trip",12.88
"E Robert Brame","Firecracker Salmon",12.95
"Señor Frog's","Tart Side of the Barrel",6.26
"C C Slaughters Restaurant","Southwest Chicken Sandwich",13.5
"40 Watt Club","Great River Golden Ale",2.17
"Arena","Baja Chicken Tacos",13.95
"Ground Round","ToGo Homemade Soups",5.95
"Champions Sports Bar","Chicken Bellagio",15.95
"Dillinger's Inc","Firecracker Salmon",12.95
"Fire Bar & Grill","Hopalicious",10.57
"Jake's Grill","MCA",2.1
"Robert","Bent Paddle Black Ale",2.43
"P. F. Chang's China Bistro","Titan IPA",9.49
"Hickory Tavern","Barn Yeti",1.04
"Daddy-O's","Bitter Bitch Imperial IPA",12.4
"Black-eyed Pea","Chicken Pot Stickers",10.95
"Union Street Station","Endive Salad",6.95
"Opus Mainstreet","Fisherman's Brew",12.57
"Hotshots Sports Bar & Grill","Arcus IPA",9.76
"C C Slaughters Restaurant","Citrafest",11.56
"Friendly's","Hopalicious",10.57
"Texas Roadhouse","Caffè Latte",4.95
"N V Penthouse Lounge","Caffè Latte",4.95
"Basement","The Everything Pizza",14.5
"Quaker Steak & Lube","Create A Sampler Italiano",9.95
"Xtc Cabaret","Barney Flats Oatmeal Stout",1.42
"Charlie Brown's Steakhouse","Devils Tramping Ground Tripel",8.36
"Bluepoint Sage Cafe","Little Red Cap",1.81
"Gold Hawk","Black Rabbit",2.54
"Ruby Tuesday","Lasagna Fritta",8.95
"Maria C. Estabil","Spicy Cashew Chicken",16.95
"Texas Roadhouse","Orange Chicken",16.95
"Hard Rock Cafe","Classic Shrimp Scampi Fritta",9.95
"Maria C. Estabil","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"MJ's","Atwater's Lager",1.89
"Old Capitol Brew Works","Bacon-Bacon Cheeseburger",13.95
"Fire Bar & Grill","Pilot Rock Porter",11.26
"Hilltop Tavern","Crispy Cuban Rolls",6.95
"Atkins Park Tavern","Cajun Chicken 'Littles'",15.5
"Outback Steakhouse","Veggie Melt",12.95
"Kesler Sports Bar & Grill","Classic Shrimp Scampi Fritta",9.95
"Friendly's","Daisy Cutter Pale Ale",11.03
"Ten","Phantom Punch Winter Stout",10.36
"Ad Card Promotions","Old Fashioned Burger",11.95
"Vault Night Club","Hyzer Flip",8.81
"Don & Herb's Inc","Steak Gorgonzola-Alfredo",11.95
"Station","Independence Pass Ale",3.36
"Black Angus Steakhouse","Disconnected Red",8.28
"Lanigan's Irish Pub & Eatery","Native Amber",8.75
"War Room","Eggroll Sampler",11.95
"Bottling CO","Southern Fried Chicken Sliders",10.95
"Black Angus Steakhouse","Hot Coffee",2.95
"Worldwide Wine Services","Aslan IPA",4.55
"Phebe's","Spicy Crispy Chicken Sandwich",13.5
"Uno Chicago Grill","Peanut Butter Jelly Time",6.62
"Sizzler","Warm Crab and Artichoke Dip",11.95
"Xtc Cabaret","Mo's Gose",2.21
"Tweed's Pub Restaurant","Atwater's Lager",1.89
"Outback Steakhouse","Yeti  Imperial Stout",5.1
"Jungle Restaurant-Fat Cat's","Thai Lettuce Wraps",13.95
"Chipotle Mexican Grill","Renee's Special",12.5
"Hooters","Herb-Grilled Salmon",11.95
"E Robert Brame","Desolation IPA",9.84
"Denny's","Loaded Pasta Chips",6.95
"Black Angus Steakhouse","Bring Back the Beach Blonde Ale",1.01
"Denny's","Roasted Pear and Blue Cheese Flatbread",6.95
"Club Paragon","Stuffed Chicken Tortillas",14.95
"Kesler Sports Bar & Grill","Buffalo Blasts",11.95
"Lone Star Steakhouse & Saloon","Baja Chicken Tacos",13.95
"Cracker Barrel Old Country Store","Hot Coffee",2.95
"Saturn","Supper Club Lager",4.97
"Mugshots Bar","Shrimp Scampi",11.95
"Shanahan's Lafayette","Jamaican Black Pepper Shrimp",19.95
"Rascal's","Grilled Chicken and Avocado Club",13.95
"Wellhead Restaurant-Brew Pub","Barn Yeti",1.04
"Saturn","Herb-Grilled Salmon",11.95
"Sugarbush Tavern","Bring Back the Beach Blonde Ale",1.01
"Sugarbush Tavern","BBQ Chicken Pizza",13.95
"Jake's Grill","Tomato Sauce with Choice of Pasta",5.95
"Chili's","Guacamole Made-to-Order",11.95
"Black-eyed Pea","Monon Wheat",8.88
"California Pizza Kitchen","Mushroom Burger",13.95
"IHOP","Big Blue Van",3.07
"Twin Peeks","Grilled Chicken Parmigiana",11.95
"Pei Wei Asian Diner","Terlingua Gold",9.67
"Golden Corral","Lasagna Fritta",8.95
"Henrietta Hudson","Fairweather IPA",7.99
"Worldwide Wine Services","Crispy Fried Cheese",5.95
"Jake's Grill","Gossamer Golden Ale",12.9
"Romano's Macaroni Grill","Chicken Piccata",17.95
"Café Rouge","Baja Chicken Tacos",13.95
"Perkins Restaurant and Bakery","Four Peaks Peach Ale",12.62
"Dillinger's Inc","Saison Pamplemousse",3.79
"Dixie Taverne","Great River Golden Ale",2.17
"Boston Pizza","Thai Lettuce Wraps",13.95
"Heart Attack Grill","Portabella, Avocado, and Zucchini Fries",6.95
"Dolphin Inn","The 26th",3.9
"Quaker Steak & Lube","Crispy Shrimp Sandwich",14.5
"Savannah Wine Shop","Floyd's Folly",6.76
"Caledonia Lounge","Monkey Chased the Weasel",7.91
"Rumors Lounge & Restaurant","Gossamer Golden Ale",12.9
"The Old Spaghetti Factory","Zaison",11.11
"Schileens Pub","Americana Cheeseburger",13.95
"Dolphin Inn","Marooned On Hog Island",4.26
"Hurricane Alley","Chicken with Lemon Couscous",15.95
"Jonathan's Restaurant","ToGo Homemade Soups",5.95
"E Robert Brame","Jack Pine Savage",6.41
"Cork Town Tavern","Parmesan-Garlic Cheese Bread",8.95
"Linda's","White Chicken Chili",13.95
"Bennigan's","Shrimp Scampi",11.95
"Rumors Lounge & Restaurant","Thai Lettuce Wraps",13.95
"Señor Frog's","Polar Pale Ale",8.01
"Sutliff Bar & Grill","Dolcini (mini dessert)",2.95
"Town & Country","Pile of Face",1.01
"YUMIS SUSHI BAR","Citrafest",11.56
"Club Soda","Stone's Throw IPA",4.1
"Arena","Bring Back the Beach Blonde Ale",1.01
"Spot On The Alley","Shiva IPA",7.09
"Jake's Grill","Classic Shrimp Scampi Fritta",9.95
"Swamp Sports Bar & Restaurant","Bravo Four Point",10.53
"Chiquito","Four Peaks Peach Ale",12.62
"Cheese Burger in Paradise","Phantom Punch Winter Stout",10.36
"Union Street Station","Morning Wood",2.58
"Planet Hollywood","Chicken and Shrimp Carbonara",11.95
"Modoggies Bar & Grill","Classic Burger",12.95
"Café Rouge","Veggie Melt",12.95
"Park Tavern Lounge & Lanes","Lucky Dog",6.15
"Bob Evans Restaurants","Dolcini",2.95
"Sheffield Wine & Spirits Center","Shepherd's Pie",15.95
"Phebe's","Pile O'Dirt Porter",1.84
"T.G.I. Friday's","Winter Solstice",4.01
"Señor Frog's","Mushroom Burger",13.95
"Ivar's Sports Bar & Grill","Portabella, Avocado, and Zucchini Fries",6.95
"Steak 'n Shake","London Balling",10.73
"Benihana","Unlimited Our Famous House Salad",6.95
"World Beer Direct","Palate Mallet",6.92
"For Pete's Sake","Lava Lake Wit",12.24
"Wibs","Jamaican Black Pepper Chicken",17.95
"Firefly Club","Cheese Pizza",11.95
"Hard Rock Cafe","Warm Crab and Artichoke Dip",11.95
"Red Robin","Aslan IPA",4.55
"Bubba Gump Shrimp Company","Belfort",7.44
"The Osthelder Saloon","Bang-Bang Chicken and Shrimp",19.5
"Atomic Cantina","Horny Toad Cerveza",9.76
"Johnny Mac's Scoreboard","Fairweather IPA",7.99
"Daddy-O's","Agent a Deux",6.59
"Met Lounge","Backyahd IPA",12.48
"Grey Lounge","Extra Breadsticks!",3.95
"Saturn","Fresh Brewed Iced Tea",2.95
"Pub 13","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Gold Hawk","Stuffed Chicken Tortillas",14.95
"Club 101","Dream Crusher Double IPA",2.13
"Shanahan's Lafayette","Dundee Summer Wheat Beer",10.35
"Hurricane Alley","Fried Calamari",12.95
"Wolfs Tavern","Shrimp and Chicken Gumbo",17.95
"Maria C. Estabil","Fettuccine Alfredo",11.95
"Perkins Restaurant and Bakery","Pizza",5.95
"Lone Star Athletic Football Club","Bent Paddle Black Ale",2.43
"Jrbc","Grilled Chicken Parmigiana",11.95
"Modoggies Bar & Grill","Big Blue Van",3.07
"Crystal Corner Bar","Bitter Bitch",8.16
"Park Tavern Lounge & Lanes","Fried Mozzarella",5.95
"Olive Garden","Caffè Mocha",4.95
"Black Angus Steakhouse","Chargrilled Coulotte Steak",19.95
"Topper","Shepherd's Pie",15.95
"Eight Seconds","Deflator",5.08
"Cheese Burger in Paradise","Shrimp Scampi",11.95
"New York Dolls","Factory Nachos",12.5
"Pei Wei Asian Diner","Eggroll Sampler",11.95
"Tradesman Tavern Inc","Black Tie Mousse Cake",6.95
"J R's Bar & Grill Inc","Pepperoni Pizza",13.95
"Big Boy","Blueberry Limonata",3.95
"Jack's Place","Double Brown Stout",6.33
"Dave & Buster's","Cannoli Trio",5.95
"Black-eyed Pea","Last Stop IPA",7.29
"Schileens Pub","Hot Coffee",2.95
"YUMIS SUSHI BAR","Shrimp and Chicken Gumbo",17.95
"Friendly's","Teriyaki Chicken",16.95
"Joe's Crab Shack","Eggplant Parmigiana",11.95
"Twin Peeks","Macaroni and Cheese Burger",13.95
"Bob Evans Restaurants","Fascist Pig Ale",11.3
"Town & Country","Monkey Chased the Weasel",7.91
"Black-eyed Pea","California Sunshine Rye IPA",9.56
"Señor Frog's","Four Peaks Peach Ale",12.62
"N V Penthouse Lounge","Macaroni and Cheese Burger",13.95
"Station","Fried Shrimp Platter",17.95
"War Room","Crispy Fried Cheese",5.95
"Big Shots Sports Bar & Grill","Calamari",9.95
"Caledonia Lounge","Pumpkin Patch Ale",9.25
"Club 101","Veggie Melt",12.95
"Cork Town Tavern","Descender IPA",8.52
"Mugshots Bar","Dolores River ESB",6.69
"Hoss's Steak and Sea House","Acidulated Trip",12.88
"Station","Renee's Special",12.5
"Ten","Parmesan Zucchini Bites",6.95
"Red Robin","Mushroom Burger",13.95
"Phebe's","Pile of Face",1.01
"World Beer Direct","Fruit Juices",2.95
"Old Country Buffet","Hibernation Ale",3.91
"Crazy Donkey Bar Grill","Dos Pistolas",8.58
"Cracker Barrel Old Country Store","Big Blue Van",3.07
"Star Tavern & Pizzeria","Commotion APA",12.94
"Xtc Cabaret","Aslan Amber",1.62
"Friendly's","Capital Gold Golden Lager",7.43
"Double Olive Lounge","Passion Fruit Prussia",5.7
"Black Angus Steakhouse","Stuffed Chicken Marsala",11.95
"MJ's","Cannoli Trio",5.95
"Club Paragon","Eggplant Parmesan",14.95
"Chiquito","Warm Apple Crostata",6.95
"Bottle & Cork","Hopalicious",10.57
"Linda's","Greek Salad",6.95
"Toc Bar","Loaded Pasta Chips",6.95
"Jonathan's Restaurant","Chicken Fingers, and Pasta",5.95
"Off Broadway","Fettuccine Alfredo",11.95
"Uno Chicago Grill","Dip Duo",1.95
"Dick's Last Resort","Star Runner",6.56
"Bottle & Cork","Stuffed Chicken Marsala",11.95
"Toc Bar","Barney Flats Oatmeal Stout",5.65
"Planet Hollywood","Polar Pale Ale",8.01
"Caledonia Lounge","3 Picket Porter",3.9
"C C Slaughters Restaurant","Fried Zucchini",5.95
"Wolfs Tavern","Aslan IPA",4.55
"J R's Last Laugh Comedy Club","Amber Road",12.56
"Opus Mainstreet","Frosted Fields Winter Wheat",10.52
"Jekyll & Hydes","Independence Pass Ale",3.36
"Tryst Lounge","Sophomoric Saison",2.93
"Jekyll & Hydes","Golden Road Hefeweizen",6.64
"The Old Spaghetti Factory","Awry Rye Pale Ale",12.88
"Stanhope House","Chicken Parmesan Sandwich",13.95
"Wellhead Restaurant-Brew Pub","Send Help",11.36
"Rumors Lounge & Restaurant","Damnesia",7.98
"Bahama Breeze","Fried Calamari",12.95
"Scooters","Aslan Amber",1.62
"Johnny Rockets","Devils Tramping Ground Tripel",8.36
"Islands Fine Burgers & Drinks","Stuffed Mushrooms",7.95
"Tweed's Pub Restaurant","Shepherd's Pie",15.95
"Famous Dave's","Independence Pass Ale",3.36
"The Osthelder Saloon","Lasagna Dip",7.95
"For Pete's Sake","Famous Factory Meatloaf",17.5
"Phebe's","Crispy Crab Bites",7.95
"Kells Restaurant","Parmesan-Garlic Cheese Bread",8.95
"The Old Spaghetti Factory","Angry Orchard Apple Ginger",11.7
"YUMIS SUSHI BAR","Lava Lake Wit",12.24
"Cork Town Tavern","Commotion APA",12.94
"Crystal Corner Bar","Capital Gold Golden Lager",7.43
"D & J Web Solutions","Greek Salad",6.95
"Dixie Taverne","Acidulated Trip",12.88
"Dillinger's Inc","Crispy Shrimp Sandwich",14.5
"Chris Cocallas","Passenger",8.22
"Old Country Buffet","Lava Lake Wit",12.24
"Heart Attack Grill","Alfredo Sauce with Choice of Pasta",5.95
"Niko's Lodge Bar & Grill","Tropical Heatwave",10.58
"Bennigan's","Herbal, and Flavored Hot Teas",2.95
"Pub 13","A Beer",11.02
"Ten","Macaroni and Cheese",5.95
"New West","Steel Rail Extra Pale Ale",8.63
"Uno Chicago Grill","Chicken Di Pana",16.5
"Cracker Barrel Old Country Store","Send Help",11.36
"Perkins Restaurant and Bakery","Shepherd's Pie",15.95
"New Orleans Original Daiquiris","Insert Hop Reference",4.01
"Niko's Lodge Bar & Grill","Little House Salad",4.95
"Round-Up Saloon","Zeppoli",6.95
"Pizza Shoppe","Strawberry-Banana Smoothie",4.95
"Jake's Old City Grill","Bent Paddle Black Ale",2.43
"Charlie Brown's Steakhouse","Alaskan Amber",11.7
"Sizzler","Passion Fruit Prussia",5.7
"Cheese Burger in Paradise","Tropical Heatwave",10.58
"Eight Seconds","Fisherman's Brew",12.57
"Bottling CO","Kids Rotini with Marinara",5.95
"County Line Pub","Fettuccine Alfredo",11.95
"Olive Garden","Sweet As Pacific Ale",7.15
"Round-Up Saloon","Fisherman's Brew",12.57
"Arena","Chicken & Biscuits",17.95
"Dolphin Inn","Create A Sampler Italiano",9.95
"Hurricane Alley","Deflator",5.08
"Benihana","Fisherman's Brew",12.57
"Stonebridge Village Poa","Margherita Pizza",12.95
"BJ's Restaurant & Brewery","Classic Burger",12.95
"War Room","Buffalo Blasts",11.95
"Daddy's","Crispy Crab Wontons",11.95
"Firefly Club","Terlingua Gold",9.67
"Big Boy","Extra Breadsticks!",3.95
"Twin Peeks","Crispy Shrimp Sandwich",14.5
"Crystal Corner Bar","Grand Canyon American Pilsner",10.85
"Romano's Macaroni Grill","Bring Back the Beach Blonde Ale",1.01
"P. F. Chang's China Bistro","Yeti  Imperial Stout",5.1
"Saturn","Escape to Colorado",12.7
"Jovan's Lounge Ltd","Create A Sampler Italiano",9.95
"Border Lounge","Thai Glazed Salmon",19.95
"J R's Bar & Grill Inc","Vertex IPA",4.23
"Chipotle Mexican Grill","Caldera Pale Ale",2.64
"Casino El Camino Bar & Grill","Eggplant Parmigiana",11.95
"D & J Web Solutions","Easy Jack",6.97
"Border Lounge","Barney Flats Oatmeal Stout",1.42
"Mulligan's Pub","Fried Zucchini",5.95
"Qdoba Mexican Grill","Tomato Sauce with Choice of Pasta",5.95
"D & J Web Solutions","Rye Wit",7.43
"Caledonia Lounge","Five Italian Cheese Fonduta",7.95
"Milo's Sports Tavern","California Cheesesteak",13.95
"Chili's","Meat Sauce with Choice of Pasta",5.95
"The Cheesecake Factory","Beets With Goat Cheese",6.95
"Golden Corral","Caramel Hazelnut Macchiato",4.95
"Apple Inn","Crispy Fried Cheese",5.95
"Border Lounge","Steel Rail Extra Pale Ale",8.63
"Ad Card Promotions","Crispy Shrimp Sandwich",14.5
"Chris Cocallas","Big Blue Van",3.07
"Kainoa's Sports Bar & Restrnt","Supper Club Lager",4.97
"40 Watt Club","Fried Zucchini",5.95
"Stingers Sports Pub & Grill","Crispy Fried Cheese",5.95
"Rascal's","Marooned On Hog Island",4.26
"California Pizza Kitchen","Stuffed Chicken Marsala",11.95
"Atkins Park Tavern","Native Amber",8.75
"Charlie Brown's Steakhouse","Capital Gold Golden Lager",7.43
"Savannah Wine Shop","Fairweather IPA",7.99
"Buffalo Wild Wings","Good People American Brown Ale",12.21
"On the Border Mexican Grill & Cantina","Moirai India Pale Ale",3.71
"Wibs","Chicken with Lemon Couscous",15.95
"Double Down Saloon","Dundee Summer Wheat Beer",10.35
"Worldwide Wine Services","Southern Fried Chicken Sliders",10.95
"Waffle House","Dream Crusher Double IPA",2.13
"Red Robin","Chargrilled Coulotte Steak",19.95
"Dejavu Nightclub","Shrimp Scampi",11.95
"J D Bar Corp","Five Italian Cheese Fonduta",7.95
"Dillinger's Inc","Bacon-Bacon Cheeseburger",13.95
"Tradesman Tavern Inc","Southern Fried Chicken Sliders",10.95
"Fire Bar & Grill","Ghost Ship White IPA",4.67
"J R's Last Laugh Comedy Club","Klickitat Pale Ale",1.76
"Arena","Orange Chicken",16.95
"New West","Five Italian Cheese Fonduta",7.95
"Smokey Bones","Dos Pistolas",8.58
"Friendly's","Coconoats",6.11
"Jrbc","Herb-Grilled Salmon",11.95
"Tweed's Pub Restaurant","Insert Hop Reference",4.01
"Village Inn","River Runners Pale Ale",1.06
"Joe's Crab Shack","California Cheesesteak",13.95
"Cheddar's Casual Café","Factory Burrito Grande",14.95
"Sizzler","Sir William's English Brown Ale",4.75
"Jake's Grill","Loaded Backed Potato Tots",5.95
"Henrietta Hudson","Bravo Four Point",10.53
"Swamp Sports Bar & Restaurant","Strawberry-Passion Fruit Limonata",3.95
"Scooters","Dip Duo",1.95
"Village Inn","Pepperoni Pizza",13.95
"Sinners Gentlemen's Club","Hurricane Amber Ale",6.17
"Famous Dave's","Little Red Cap",1.81
"MJ's","Chicken Margherita",11.95
"D & J Web Solutions","Desolation IPA",9.84
"Texas Roadhouse","Grand Canyon Sunset Amber Ale",1.22
"Boston Market","Shrimp Alfredo",11.95
"For Pete's Sake","Lucky Dog",6.15
"Border Lounge","Belfort",7.44
"Spot On The Alley","Seiche Scottish Ale",6.33
"Phebe's","Grilled Turkey Burger",13.95
"Milo's Sports Tavern","Barn Yeti",1.04
"Jonathan's Restaurant","Zaison",11.11
"Red Barn","Alfredo Sauce with Choice of Pasta",5.95
"Old Country Buffet","Pit Beef Dip",14.5
"Joe's Crab Shack","Tropical Saison",7.79
"Café Rouge","Greek Salad",6.95
"Benihana","Warm Crab and Artichoke Dip",11.95
"D & J Web Solutions","Star Runner",6.56
"Downtown Lounge","Terlingua Gold",9.67
"Hooters","Fried Mozzarella",5.95
"Opus Mainstreet","Fried Zucchini",5.95
"Fire Bar & Grill","Crabcakes",13.95
"Buffalo Wild Wings","Eggplant Parmesan",14.95
"J R's Last Laugh Comedy Club","Bravo Four Point",10.53
"Chipotle Mexican Grill","San Pellegrino Sparkling",2.95
"Linda's","Sweet As Pacific Ale",7.15
"Old Country Buffet","Crispy Fried Cheese",5.95
"Cheddar's Casual Café","Little House Salad",4.95
"Vault Night Club","Roasted Pear and Blue Cheese Flatbread",6.95
"Schileens Pub","Crabtree Oatmeal Stout",6.3
"Henrietta Hudson","Margherita Pizza",12.95
"Dave & Buster's","Passenger",8.22
"Mugshots Bar","Little House Salad",4.95
"Texas Roadhouse","Caffè Mocha",4.95
"Johnny Rockets","Crispy Fried Cheese",5.95
"Old Country Buffet","Tropical Saison",7.79
"Jake's Grill","Lasagna Dip",7.95
"E Robert Brame","Quick WIT",3.19
"Big Shots Sports Bar & Grill","Suncaster Summer Wheat",4.1
"Club Paragon","Great River Golden Ale",2.17
"Smitty's Sports Pub","Strawberry-Passion Fruit Limonata",3.95
"Hilltop Tavern","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Dillinger's Inc","Grand Canyon American Pilsner",10.85
"Islands Fine Burgers & Drinks","Beets With Goat Cheese",6.95
"Qdoba Mexican Grill","California Sunshine Rye IPA",9.56
"Border Lounge","Union Jack",4.64
"Don & Herb's Inc","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Chili's","Buffalo Blasts",11.95
"Big Shots Sports Bar & Grill","Last Stop IPA",7.29
"Sizzler","Jack Pine Savage",6.41
"Atkins Park Tavern","Fried Zucchini",5.95
"Don & Herb's Inc","Fire-Roasted Fresh Artichoke",11.5
"California Pizza Kitchen","Cheese Ravioli",11.95
"Pizza Shoppe","Arcus IPA",9.76
"Karma Lounge Ltd","Caffè Mocha",4.95
"Eight Seconds","Citrafest",11.56
"IHOP","Passenger",8.22
"Kainoa's Sports Bar & Restrnt","Phantom Punch Winter Stout",10.36
"Lanigan's Irish Pub & Eatery","Coq D'Or",3.1
"Pub 13","Acqua Panna Spring",2.95
"Rocket","Macaroni and Cheese",5.95
"Jake's Grill","Fire-Roasted Fresh Artichoke",11.5
"Niko's Lodge Bar & Grill","California Sunshine Rye IPA",9.56
"Tryst Lounge","Unlimited Our Famous House Salad",6.95
"Comedy Cellar","Jack Pine Savage",6.41
"Ivar's Sports Bar & Grill","Cajun Chicken 'Littles'",15.5
"YUMIS SUSHI BAR","Shrimp Scampi",11.95
"Bluepoint Sage Cafe","Star Runner",6.56
"Jungle Restaurant-Fat Cat's","More Cowbell",10.89
"YUMIS SUSHI BAR","Chicken and Shrimp Carbonara",11.95
"J R's Bar & Grill Inc","Hurricane Amber Ale",6.17
"C C Slaughters Restaurant","Orange Wheat",10.13
"IHOP","Orabelle",2.83
"Maria C. Estabil","Humidor Series India Pale Ale",5.96
"Round-Up Saloon","Crispy Chicken Costoletta",17.95
"Johnny Mac's Scoreboard","Jamaican Black Pepper Shrimp",19.95
"Chipotle Mexican Grill","Grilled Steak Tacos",15.95
"Golden Corral","Southern Fried Chicken Sliders",10.95
"Dolphin Inn","Margherita Pizza",12.95
"Smokey Bones","Grilled Chicken Parmigiana",11.95
"For Pete's Sake","Chicken Giardino",11.95
"Ten","Insert Hop Reference",4.01
"Quaker Steak & Lube","Perzik Saison",4.79
"Atomic Cantina","Aslan Amber",1.62
"Chipotle Mexican Grill","Star Runner",6.56
"Smokey Bones","Herbal, and Flavored Hot Teas",2.95
"Hickory Tavern","Dip Duo",1.95
"Cheese Burger in Paradise","Polar Pale Ale",8.01
"Jovan's Lounge Ltd","Smokehouse BBQ Burger",13.95
"Atomic Cantina","Create Your Own Pasta - Cucina Mia!",9.95
"Carrabba's Italian Grill","Daisy Cutter Pale Ale",11.03
"Smokey Bones","Verdun",4.94
"Cheddar's Casual Café","El Hefe Speaks",2.68
"Spot On The Alley","Tex Mex Eggrolls",10.95
"Stanhope House","Southwest Chicken Sandwich",13.5
"Town & Country","Fresh Brewed Iced Tea",2.95
"Worldwide Wine Services","Quick WIT",3.19
"Big Shots Sports Bar & Grill","Sausage and Ricotta Flatbread",6.95
"Maria C. Estabil","Descender IPA",8.52
"Cracker Barrel Old Country Store","Lasagna Fritta",8.95
"California Pizza Kitchen","Parmesan-Herb Crusted Chicken",17.5
"Ivar's Sports Bar & Grill","Cappuccino",4.95
"Swamp Sports Bar & Restaurant","Bring Back the Beach Blonde Ale",1.01
"Bennigan's","Fairweather IPA",7.99
"Waffle House","Barney Flats Oatmeal Stout",5.65
"Atkins Park Tavern","Acidulated Trip",12.88
"California Pizza Kitchen","Chicken Parmigiana",11.95
"Milo's Sports Tavern","Roadside Sliders",9.95
"Phebe's","Mushroom Burger",13.95
"Mugshots Bar","Agent a Deux",6.59
"Hilltop Tavern","Stuffed Chicken Tortillas",14.95
"Carrabba's Italian Grill","Commotion APA",12.94
"Savannah Wine Shop","Island Wheat",9.96
"Hoss's Steak and Sea House","Agent a Deux",6.59
"Henrietta Hudson","Kids Rotini with Meat Sauce",5.95
"Perkins Restaurant and Bakery","Fried Shrimp Platter",17.95
"Daddy-O's","Pizza",5.95
"Gold Hawk","Hyzer Flip",8.81
"New Orleans Original Daiquiris","Sir William's English Brown Ale",4.75
"J R's Last Laugh Comedy Club","Might As Well IPL",3.66
"Double Olive Lounge","Beets With Goat Cheese",6.95
"Black Angus Steakhouse","Edamane",4.95
"Xtc Cabaret","Lasagna Classico",11.95
"Dillinger's Inc","Chicken and Shrimp Carbonara",11.95
"Savannah Wine Shop","Dry Hard Apple Cider",9.69
"YUMIS SUSHI BAR","Stuffed Chicken Tortillas",14.95
"Hilltop Tavern","Lucky Dog",6.15
"Chipotle Mexican Grill","Norm's Gateway IPA",10.42
"Scores","Smokehouse BBQ Burger",13.95
"E Robert Brame","Deflator",5.08
"Hilltop Tavern","Unlimited Our Famous House Salad",6.95
"Hilltop Tavern","Grilled Pork Chop",19.95
"Lone Star Steakhouse & Saloon","Tomato Sauce with Choice of Pasta",5.95
"Jonathan's Restaurant","What the Butler Saw",2.75
"Round-Up Saloon","Peach-Mango Smoothie",4.95
"Cheese Burger in Paradise","Kids Rotini with Marinara",5.95
"LongHorn Steakhouse","A Beer",11.02
"Maria C. Estabil","Vanilla Java Porter",9.81
"The Original Pancake House","Whitewater",7.37
"Black Angus Steakhouse","Chin Music Amber Lager",4.96
"Club 101","Chin Music Amber Lager",4.96
"Sugarbush Tavern","Americana Cheeseburger",13.95
"Topper","Hinchtown Hammer Down",6.52
"Kroc's","Cape Cod Red",11.85
"Wolfs Tavern","Athena",1.28
"Café Rouge","Peach-Mango Smoothie",4.95
"Steak 'n Shake","Peanut Butter Jelly Time",6.62
"Jovan's Lounge Ltd","Tropical Saison",7.79
"Daddy-O's","Fettuccine Alfredo",11.95
"Texas Roadhouse","Floyd's Folly",6.76
"Linda's","Dynamite Shrimp",7.5
"Casino El Camino Bar & Grill","Jack Pine Savage",6.41
"Hotshots Sports Bar & Grill","Miso Salmon",19.95
"Bertucci's","Dirtbag Dunkel",4.45
"Pub 13","Spicy Cashew Chicken",16.95
"Barrister S Euro Tavern;","Goose Island India Pale Ale",1.9
"Lone Star Athletic Football Club","Five Cheese Ziti al Forno",11.95
"Bluepoint Sage Cafe","KSA",6.89
"Hilltop Tavern","Smokehouse BBQ Burger",13.95
"Vault Night Club","Trigger Blonde Ale",3.65
"Ground Round","More Cowbell",10.89
