bar,item,price
"Friendly's","Jamaican Black Pepper Chicken",17.95
"Applebee's","Stone's Throw IPA",1.68
"Saturn","Awry Rye Pale Ale",2.59
"Rocket","Bring Back the Beach Blonde Ale",7.06
"MJ's","Jamaican Black Pepper Chicken",17.95
"Hooters","Field 41 Pale Ale",8.08
"Dolphin Inn","Angry Orchard Crisp Apple",10.72
"Jrbc","Stuffed Mushrooms",7.95
"Niko's Lodge Bar & Grill","Thai Lettuce Wraps",13.95
"Johnny Rockets","Sudice American Stout",10.97
"Bahama Breeze","Grilled Steak Tacos",15.95
"Worldwide Wine Services","Powder Hound Winter Ale",3.41
"J R's Bar & Grill Inc","Mountain Fairy Raspberry Wheat",11.92
"Vault Night Club","Dynamite Shrimp",7.5
"Modoggies Bar & Grill","All American Blonde Ale",11.69
"Rocket","Bozone Hefe Weizen",10.18
"Iron Post","Morning Wood",12.16
"Applebee's","Psychopomp",1.85
"J D Bar Corp","Devils Tramping Ground Tripel",2.96
"Tryst Lounge","Chicken Enchiladas",14.95
"Club Paragon","Chicken Pot Stickers",10.95
"Dolphin Inn","Moose Drool Brown Ale",1.26
"Topper","Dolcini",2.95
"Opus Mainstreet","Calamari",9.95
"Opus Mainstreet","The 26th",11.12
"California Pizza Kitchen","Chicken with Lemon Couscous",15.95
"Cheese Burger in Paradise","Yo Soy Un Berliner",6.52
"Golden Corral","Roadside Sliders",9.95
"Brandy's","Farmer Wirtz India Pale Ale",4.24
"Bluepoint Sage Cafe","Whitsun",4.4
"Smokey Bones","Fried Mozzarella",5.95
"Pei Wei Asian Diner","Crispy Crab Bites",7.95
"Spot On The Alley","Chicken Piccata",17.95
"Shanahan's Lafayette","Seiche Scottish Ale",6.83
"Bertucci's","The 26th",11.12
"Bottle & Cork","OktoberFiesta",8.01
"Houlihan's","Kiwi-Melon Limonata",3.95
"For Pete's Sake","Lasagna Fritta",8.95
"Hard Rock Cafe","Tiramisu",6.95
"Qdoba Mexican Grill","Cone Crusher",8.14
"Niko's Lodge Bar & Grill","Tiramisu",6.95
"Islands Fine Burgers & Drinks","Miso Salmon",19.95
"Outback Steakhouse","Dip Duo",1.95
"Shank's Tavern","Smores Layer Cake",6.95
"Arlene's","Watermelon Ale",10.54
"Big Al's","Sausage and Ricotta Flatbread",6.95
"Hotshots Sports Bar & Grill","Chicken Giardino",11.95
"Big Shots Sports Bar & Grill","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Bob Evans Restaurants","Lemon-Herb Roasted Chicken",18.5
"Johnny Rockets","Samuel Adams Summer Ale",1.91
"Tradesman Tavern Inc","Thai Lettuce Wraps",13.95
"Xtc Cabaret","The Grand Army",4.09
"Star Tavern & Pizzeria","Lasagna Classico",11.95
"County Line Pub","Naked Pig Pale Ale",5.07
"Wolfs Tavern","Herb-Grilled Salmon",11.95
"County Line Pub","Tree Bucket",11.58
"Ivar's Sports Bar & Grill","Parmesan-Herb Crusted Chicken",17.5
"Dillinger's Inc","Southern Drawl Pale Lager",10.02
"Jovan's Lounge Ltd","Stuffed Chicken Marsala",11.95
"Tryst Lounge","Warm Crab and Artichoke Dip",11.95
"Famous Dave's","Barney Flats Oatmeal Stout",3.84
"Downtown Lounge","Smores Layer Cake",6.95
"Perkins Restaurant and Bakery","Mountain Fairy Raspberry Wheat",11.92
"Bluepoint Sage Cafe","Gyptoberfest",10.4
"Cracker Barrel Old Country Store","Herbal, and Flavored Hot Teas",2.95
"Jake's Grill","Farmer Ted's Farmhouse Cream Ale",10.22
"Outback Steakhouse","Bikini Beer",5.47
"Champions Sports Bar","Misty Mountain IPA",3.56
"Gold Hawk","Chicken Margherita",11.95
"Heart Attack Grill","Dip Duo",1.95
"Kells Restaurant","Raspberry Lemonade",2.95
"Crystal Corner Bar","Shrimp Carbonara",11.95
"Bennigan's","Cajun Chicken 'Littles'",15.5
"Phebe's","Trigger Blonde Ale",12.45
"The Osthelder Saloon","BBQ Chicken Pizza",13.95
"Rocket","Black Exodus",12.77
"Jovan's Lounge Ltd","Rhode Island Blueberry",6.08
"Hilltop Tavern","Veggie Melt",12.95
"Boynton Restaurant & Spirits","Flesh Gourd'n",11.26
"Big Al's","Old Fashioned Burger",11.95
"E Robert Brame","The Lawn Ranger",3.41
"Black-eyed Pea","Rye Pils Session Lager",9.0
"Improper Bostonian","Grilled Steak Tacos",15.95
"Swamp Sports Bar & Restaurant","Cannoli Trio",5.95
"Opus Mainstreet","Thai Glazed Salmon",19.95
"Caledonia Lounge","Veggie Melt",12.95
"Topper","Meat Sauce with Choice of Pasta",5.95
"Paradise City","Grilled Steak Tacos",15.95
"Robert","Sawtooth Ale",2.96
"Charles A. Meyer","077XX",12.26
"Red Barn","Five Cheese Ziti al Forno",11.95
"E Robert Brame","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"California Pizza Kitchen","Lemon Cream Cake",6.95
"Bottling CO","Thai Glazed Salmon",19.95
"Xtc Cabaret","Jamaican Black Pepper chicken and Shrimp",19.95
"Houlihan's","Citra Ass Down",4.48
"Black-eyed Pea","Pothole Stout",12.58
"Kesler Sports Bar & Grill","Bikini Beer",5.47
"Rocket","Steak Gorgonzola-Alfredo",11.95
"Pub 13","Chugach Session Ale",9.77
"Hickory Tavern","Warm Crab and Artichoke Dip",11.95
"Gay Nineties Theatre Cafe","Cut Throat Pale Ale",2.74
"Topper","Quick WIT",10.43
"Tradesman Tavern Inc","Powder Hound Winter Ale",3.41
"Red Robin","Summer Honey",8.37
"Saturn","Seasonal Sicilian Cheesecake",6.95
"Sheffield Wine & Spirits Center","Black Exodus",12.77
"World Beer Direct","Chicken Di Pana",16.5
"Ivar's Sports Bar & Grill","Mirror Pond Pale Ale",4.19
"N V Penthouse Lounge","Coq de la Marche",8.81
"County Line Pub","Copperhead Amber",5.15
"Spot On The Alley","Jade",7.81
"Stonebridge Village Poa","Crispy Cuban Rolls",6.95
"Gay Nineties Theatre Cafe","Parmesan Zucchini Bites",6.95
"Jack's Place","Here Gose Nothin'",8.96
"Dick's Last Resort","Quesadilla with Chicken",11.95
"Modoggies Bar & Grill","Tart Side of the Moon",10.91
"Saturn","Famous Factory Meatloaf",17.5
"J D Bar Corp","Whitsun",4.4
"Pub 13","Roadside Sliders",9.95
"Ground Round","Chicken Scampi",11.95
"Steak 'n Shake","Little Boss",1.51
"Spot On The Alley","Fried Macaroni and Cheese",11.5
"Ad Card Promotions","Factory Burrito Grande",14.95
"Comedy Cellar","Cherny Bock",6.96
"Double Olive Lounge","Pumpkin Beast",3.67
"Applebee's","Angry Orchard Crisp Apple",10.72
"Saturn","Dry Dock Amber Ale",11.48
"Hurricane Alley","Shrimp and Chicken Gumbo",17.95
"Sutliff Bar & Grill","Hopkick Dropkick",1.78
"Dick's Last Resort","Wolfman's Berliner",5.63
"Rascal's","Naked Pig Pale Ale",5.07
"Champions Sports Bar","Dolcini (mini dessert)",2.95
"Bubba Gump Shrimp Company","Salmon Piccata",11.95
"Tweed's Pub Restaurant","The Lawn Ranger",3.41
"Pivots Beach Club","Chicken Piccata",17.95
"Club 101","Roller Dam Red Ale",2.23
"C C Slaughters Restaurant","Beach Patrol",1.34
"Dolphin Inn","Coq D'Or",9.59
"Boston Market","Quesadilla with Chicken",11.95
"Henrietta Hudson","Smores Layer Cake",6.95
"Qdoba Mexican Grill","Big Elm IPA",8.9
"Toc Bar","Jade",7.81
"Pub 13","Seafood Alfredo",11.95
"Crazy Donkey Bar Grill","Sawtooth Ale",2.96
"Smitty's Sports Pub","Harvest Ale",3.55
"Golden Corral","El Hefe Speaks",7.17
"Bubba Gump Shrimp Company","Divided Sky",6.07
"California Pizza Kitchen","North French",10.85
"Basement","Sweet Corn Tamale Cakes",10.95
"Jovan's Lounge Ltd","Churchkey Pilsner Style Beer",12.19
"Bertucci's","Fried Macaroni and Cheese",11.5
"Sportsman","Teriyaki Chicken",16.95
"Sportsman","Summer Honey",8.37
"Rumors Lounge & Restaurant","Kilt Dropper Scotch Ale",7.45
"Saturn","Double Brown Stout",11.11
"Old Country Buffet","Behemoth",12.89
"YUMIS SUSHI BAR","Factory Burger",12.95
"MJ's","The Club",13.95
"Dolphin Inn","Firewater India Pale Ale",1.92
"Pei Wei Asian Diner","Hop Stalker Fresh Hop IPA",6.61
"Fire Bar & Grill","Rye Pils Session Lager",9.0
"Big Shots Sports Bar & Grill","Akari Shogun American Wheat Ale",2.92
"Comedy Cellar","Fresh Brewed Iced Tea",2.95
"Scooters","Chicken Scampi",11.95
"Waffle House","Arkansas Red",9.88
"Basement","Pepperoni Pizza",13.95
"Double Down Saloon","Chicken Di Pana",16.5
"Casino El Camino Bar & Grill","Crusted Chicken Romano",16.95
"Chris Cocallas","Field 41 Pale Ale",8.08
"Sinners Gentlemen's Club","Cannoli Trio",5.95
"Kells Restaurant","Jamaican Black Pepper chicken and Shrimp",19.95
"Outback Steakhouse","Strawberry Blonde",2.14
"Café Rouge","Fried Mozzarella",5.95
"Stingers Sports Pub & Grill","Eggplant Parmesan",14.95
"Double Down Saloon","Arkansas Red",9.88
"Star Tavern & Pizzeria","Wolfman's Berliner",5.63
"Texas Roadhouse","Famous Factory Meatloaf",17.5
"Spot On The Alley","The Grand Army",4.09
"Jrbc","Roadside Sliders",9.95
"IHOP","Shepherd's Pie",15.95
"Club Soda","Jade",7.81
"Basement","Caffè Mocha",4.95
"Milo's Sports Tavern","Beaver Logger",1.84
"Twin Peeks","Coq D'Or",9.59
"California Pizza Kitchen","Sundae",1.95
"Club Paragon","Quick WIT",10.43
"Romano's Macaroni Grill","Underachiever",9.43
"Rascal's","North French",10.85
"LongHorn Steakhouse","Hopkick Dropkick",1.78
"Big Boy","Farmer Wirtz India Pale Ale",4.24
"Dolphin Inn","Warm Crab and Artichoke Dip",11.95
"Dave & Buster's","Tender Loving Empire NWPA",1.29
"Karma Lounge Ltd","Green Bullet Organic India Pale Ale",11.48
"Buffalo Wild Wings","Fall Hornin'",9.86
"Pub 13","Create A Sampler Italiano",9.95
"Caledonia Lounge","Stuffed Mushrooms",7.95
"Double Down Saloon","Sky Blue Golden Ale",9.17
"MJ's","Bacon-Bacon Cheeseburger",13.95
"Shank's Tavern","Quesadilla with Chicken",11.95
"Sheffield Wine & Spirits Center","Old Fashioned Burger",11.95
"D & J Web Solutions","Seiche Scottish Ale",6.83
"Toc Bar","Eggplant Parmigiana",11.95
"Sizzler","Fried Calamari",12.95
"P. F. Chang's China Bistro","Suncaster Summer Wheat",6.03
"Village Inn","Spinach-Artichoke Dip",8.95
"Saturn","Polar Pale Ale",3.1
"Dejavu Nightclub","Iced Coffees",3.95
"Topper","Eggroll Sampler",11.95
"Bennigan's","Green Bullet Organic India Pale Ale",11.48
"Dejavu Nightclub","Zeppoli",6.95
"Club 101","Orange Chicken",16.95
"Charlie Brown's Steakhouse","Shrimp Alfredo",11.95
"Opus Mainstreet","Chicken Marsala and Mushrooms",18.5
"The Original Pancake House","Zeppoli",6.95
"Chiquito","ToGo Homemade Soups",5.95
"Casino El Camino Bar & Grill","Peach-Mango Smoothie",4.95
"Stanhope House","Wandering Pelican",5.73
"Big Shots Sports Bar & Grill","Sundae",1.95
"Hotshots Sports Bar & Grill","Maduro Brown Ale",12.8
"War Room","Pepper in the Rye",1.64
"The Old Spaghetti Factory","Dipping Sauces includes 4 Breadsticks",3.95
"Sinners Gentlemen's Club","Vivant Tripel",5.66
"Kainoa's Sports Bar & Restrnt","Spicy Crispy Chicken Sandwich",13.5
"Xtc Cabaret","Tart Side of the Moon",10.91
"Scores","Heavy Lifting",12.2
"War Room","Five Cheese Ziti al Forno",11.95
"Crystal Corner Bar","Fried Calamari",12.95
"Joe's Crab Shack","Chicken Salad Sandwich",12.5
"Pizza Shoppe","Beets With Goat Cheese",6.95
"Hickory Tavern","Wrath of Pele",8.87
"Bubba Gump Shrimp Company","Coq D'Or",9.59
"Chipotle Mexican Grill","Devils Tramping Ground Tripel",2.96
"Atkins Park Tavern","Crusted Chicken Romano",16.95
"C C Slaughters Restaurant","Chicken & Biscuits",17.95
"Bertucci's","Bang-Bang Chicken and Shrimp",19.5
"Eight Seconds","Braised Beef Bolognese",11.95
"For Pete's Sake","Pepper in the Rye",1.64
"The Cheesecake Factory","Cut Throat Pale Ale",2.74
"Crazy Donkey Bar Grill","Sundae",1.95
"Toc Bar","Lemon Cream Cake",6.95
"Texas Roadhouse","Norm's Raggedy Ass IPA",3.38
"Boston Market","Mixed Berry Sparkling Water",3.95
"Café Rouge","Easy Livin' Summer Ale",12.68
"The Old Spaghetti Factory","Raincloud Robust Porter",7.26
"Waffle House","Angry Orchard Crisp Apple",10.72
"Hotshots Sports Bar & Grill","Sky High Rye",9.17
"Twin Peeks","Incredible Pedal IPA",11.02
"Steak 'n Shake","Eggroll Sampler",11.95
"C C Slaughters Restaurant","Grilled Chicken Parmigiana",11.95
"Hoss's Steak and Sea House","Beach Patrol",1.34
"Station","Solitude",10.0
"Denny's","Fish Tacos",14.95
"Jake's Grill","Rye Pils Session Lager",9.0
"Bertucci's","Contemplation",5.56
"Wibs","Rye Pils Session Lager",9.0
"New West","Fall Hornin'",9.86
"T.G.I. Friday's","Cannoli Trio",5.95
"Rainforest Cafe","Meat Sauce with Choice of Pasta",5.95
"Worldwide Wine Services","Chicken Parmigiana",11.95
"Baja Fresh","OktoberFiesta",8.01
"Monopole Restaurant","Chicken Enchiladas",14.95
"D & J Web Solutions","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Park Tavern Lounge & Lanes","Rod Bender Red",9.83
"Tradesman Tavern Inc","Edamane",4.95
"Tryst Lounge","Trigger Blonde Ale",12.45
"Kesler Sports Bar & Grill","General George Patton Pilsner",8.63
"Station","Iced Coffees",3.95
"40 Watt Club","Watermelon Ale",10.54
"Charlie Brown's Steakhouse","Iced Coffees",3.95
"Denny's","Fresh Kale Salad",6.95
"Topper","Farmer Wirtz India Pale Ale",4.24
"Jungle Restaurant-Fat Cat's","Chicken Bellagio",15.95
"Stonebridge Village Poa","Samuel Adams Summer Ale",1.91
"Denny's","Fall Hornin'",9.86
"Hurricane Alley","Chicken Salad Sandwich",12.5
"Tony Roma's","Dolcini (mini dessert)",2.95
"Pub 13","Peach-Mango Smoothie",4.95
"Casino El Camino Bar & Grill","Mountain Livin' Pale Ale",2.85
"Chipotle Mexican Grill","Braised Beef Bolognese",11.95
"Wellhead Restaurant-Brew Pub","Summer Honey",8.37
"Red Robin","Chicken Parmesan Sandwich",13.95
"Famous Dave's","Veggie Melt",12.95
"The Osthelder Saloon","Factory Burrito Grande",14.95
"Gold Hawk","Ravioli di Portobello",11.95
"Caledonia Lounge","Southwest Chicken Sandwich",13.5
"Double Down Saloon","General George Patton Pilsner",8.63
"Dave & Buster's","Ginja Ninja",7.69
"Barrister S Euro Tavern;","San Pellegrino Sparkling",2.95
"Red Lobster","Endive Salad",6.95
"Ad Card Promotions","Strawberry-Passion Fruit Limonata",3.95
"Tradesman Tavern Inc","Devils Tramping Ground Tripel",2.96
"Olive Garden","Unlimited Our Famous House Salad",6.95
"Ground Round","Beach Patrol",1.34
"P. F. Chang's China Bistro","Loaded Backed Potato Tots",5.95
"Famous Dave's","Insert Hop Reference",9.53
"Black-eyed Pea","Live Local Golden Ale",1.72
"Niko's Lodge Bar & Grill","Jamaican Black Pepper chicken and Shrimp",19.95
"Bubba Gump Shrimp Company","Fruit Juices",2.95
"Waffle House","Jamaican Black Pepper Chicken",17.95
"Hickory Tavern","Coq D'Or",9.59
"Chipotle Mexican Grill","Dry Dock Amber Ale",11.48
"Baja Fresh","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Jake's Grill","Unlimited Our Famous House Salad",6.95
"Denny's","Classic Shrimp Scampi Fritta",9.95
"Station","Perzik Saison",5.61
"Johnny Mac's Scoreboard","Crispy Shrimp Sandwich",14.5
"Romano's Macaroni Grill","Renee's Special",12.5
"Boynton Restaurant & Spirits","Strawberry-Passion Fruit Limonata",3.95
"Dolphin Inn","Coq de la Marche",8.81
"Rascal's","Grilled Turkey Burger",13.95
"Charlie Brown's Steakhouse","Beets With Goat Cheese",6.95
"Texas Roadhouse","312 Urban Wheat Ale",1.36
"Niko's Lodge Bar & Grill","Eggroll Sampler",11.95
"Grey Lounge","Boy King",1.1
"Brandy's","Big Elm IPA",8.9
"Steak 'n Shake","Coq D'Or",9.59
"California Pizza Kitchen","Fearless Scottish Ale",10.11
"Scooters","Jalapeno Pale Ale",11.22
"Tony Roma's","Sky Blue Golden Ale",9.17
"Buffalo Wild Wings","Fire-Roasted Fresh Artichoke",11.5
"Rumors Lounge & Restaurant","6 oz Sirloin with Fettuccine Alfredo",11.95
"Rascal's","Fearless Scottish Ale",10.11
"Romano's Macaroni Grill","Unlimited Our Famous House Salad",6.95
"Bluepoint Sage Cafe","Rules are Rules",6.13
"Crowe Bar","Oatmeal PSA",6.91
"Crazy Donkey Bar Grill","Chicken with Lemon Couscous",15.95
"Modoggies Bar & Grill","Bozone Hefe Weizen",10.18
"Linda's","Ginja Ninja",7.69
"Don & Herb's Inc","Great Crescent Blonde Ale",12.53
"Pub 13","Great Crescent Blonde Ale",12.53
"Tony Roma's","Quick Wit Belgianesque Ale",6.57
"Lone Star Athletic Football Club","Citra Ass Down",4.48
"Hard Rock Cafe","Toasted Lager",3.28
"Gold Hawk","Polar Pale Ale",3.1
"New West","Heinnieweisse Weissebier",8.9
"Big Boy","Caffè Mocha",4.95
"New York Dolls","Twisted Helles Summer Lager",12.74
"Brandy's","Verdun",4.95
"Gay Nineties Theatre Cafe","Warm Crab and Artichoke Dip",11.95
"Waffle House","ToGo Our Famous House Salad",6.95
"Savannah Wine Shop","Bikini Beer",5.47
"Boston Pizza","Oberon",8.56
"Jonathan's Restaurant","Polar Pale Ale",3.1
"Club 101","Black Exodus",12.77
"Old Capitol Brew Works","Vivant Tripel",5.66
"Sizzler","Hop Stalker Fresh Hop IPA",6.61
"Double Down Saloon","Macaroni and Cheese",5.95
"Shanahan's Lafayette","Stuffed Chicken Tortillas",14.95
"Jungle Restaurant-Fat Cat's","Caramel Hazelnut Macchiato",4.95
"Club 101","Parmesan Zucchini Bites",6.95
"Hooters","Create Your Own Pasta - Cucina Mia!",9.95
"Benihana","Loaded Pasta Chips",6.95
"Scores","Contemplation",5.56
"Ad Card Promotions","Fearless Scottish Ale",10.11
"Kainoa's Sports Bar & Restrnt","Crabcakes",13.95
"California Pizza Kitchen","Factory Nachos",12.5
"Famous Dave's","Chicken Scampi",11.95
"The Old Spaghetti Factory","South Ridge Amber Ale",7.83
"Cheddar's Casual Café","Chicken Giardino",11.95
"Kesler Sports Bar & Grill","Boy King",1.1
"Crazy Donkey Bar Grill","Heavy Lifting",12.2
"Applebee's","Bikini Beer",5.47
"IHOP","Thai Lettuce Wraps",13.95
"Park Tavern Lounge & Lanes","Blueberry Limonata",3.95
"Buffalo Wild Wings","Greek Salad",6.95
"YUMIS SUSHI BAR","Plow Horse Belgian Style Imperial Stout",5.61
"Hilltop Tavern","Braised Beef and Tortelloni",11.95
"C C Slaughters Restaurant","Eggplant Parmigiana",11.95
"Tony Roma's","White Zombie Ale",10.71
"Ivar's Sports Bar & Grill","Chicken Margherita",11.95
"Don & Herb's Inc","Chicken Giardino",11.95
"Golden Corral","Kids Rotini with Marinara",5.95
"Border Lounge","Pepper in the Rye",1.64
"Border Lounge","Chicken Samosas",6.95
"Cheese Burger in Paradise","Watermelon Ale",10.54
"Sinners Gentlemen's Club","American Red Porter",9.46
"T.G.I. Friday's","Dolores River ESB",12.31
"Savannah Wine Shop","Flesh Gourd'n",11.26
"Apple Inn","Oak Cliff Coffee Ale",7.78
"Star Tavern & Pizzeria","Four String Vanilla Porter",12.63
"The Osthelder Saloon","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Don & Herb's Inc","Morning Wood",12.16
"Sheffield Wine & Spirits Center","Crispy Crab Bites",7.95
"Dick's Last Resort","Cut Throat Pale Ale",2.74
"New West","Eggplant Parmigiana",11.95
"Improper Bostonian","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Hooters","Dry Hard Apple Cider",9.74
"California Pizza Kitchen","Cone Crusher",8.14
"IHOP","Barney Flats Oatmeal Stout",2.27
"Double Down Saloon","Noche Dulce",2.7
"Ten","San Pellegrino Sparkling",2.95
"Ivar's Sports Bar & Grill","Summer Honey",8.37
"Sizzler","Mixed Berry Sparkling Water",3.95
"Golden Corral","Factory Burger",12.95
"Chili's","Farmer Wirtz India Pale Ale",4.24
"Hotshots Sports Bar & Grill","Chargrilled Coulotte Steak",19.95
"Johnny Mac's Scoreboard","Jamaican Black Pepper Chicken",17.95
"BJ's Restaurant & Brewery","Churchkey Pilsner Style Beer",12.19
"Hooters","Harvest Ale",3.55
"Hurricane Alley","Chicken Pot Stickers",10.95
"Park Tavern Lounge & Lanes","Iced Coffees",3.95
"Hooters","Crispy Chicken Costoletta",17.95
"Kroc's","Tree Bucket",11.58
"Big Al's","Quesadilla",9.95
"Qdoba Mexican Grill","Suncaster Summer Wheat",6.03
"Union Street Station","Stuffed Mushrooms",7.95
"IHOP","Old Detroit",5.59
"Tryst Lounge","Jamaican Black Pepper Chicken",17.95
"New York Dolls","Grilled Chicken and Avocado Club",13.95
"Phebe's","Roasted Pear and Blue Cheese Flatbread",6.95
"Jovan's Lounge Ltd","Fried Zucchini",5.95
"Maria C. Estabil","Divided Sky",6.07
"Bennigan's","Caldera IPA",7.55
"The Osthelder Saloon","Grilled Turkey Burger",13.95
"Jrbc","Meat Sauce with Choice of Pasta",5.95
"Sizzler","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Barrister S Euro Tavern;","Eggplant Parmigiana",11.95
"YUMIS SUSHI BAR","Chicken Giardino",11.95
"Club Paragon","Avocado Eggrolls",11.5
"Scores","Bang-Bang Chicken and Shrimp",19.5
"Kesler Sports Bar & Grill","Greenbelt Farmhouse Ale",5.52
"IHOP","Bozone Hefe Weizen",10.18
"Maria C. Estabil","Hopportunity Knocks IPA",11.83
"Spot On The Alley","Southern Fried Chicken Sliders",10.95
"Crystal Corner Bar","Endive Salad",6.95
"Islands Fine Burgers & Drinks","East India Pale Ale",12.32
"Applebee's","California Cheesesteak",13.95
"40 Watt Club","Fresh Brewed Iced Tea",2.95
"Pizza Shoppe","Rye Porter",3.66
"Border Lounge","Noche Dulce",2.7
"Club 101","Southern Drawl Pale Lager",10.02
"Off Broadway","Factory Burrito Grande",14.95
"Double Olive Lounge","Stuffed Chicken Marsala",11.95
"Barrister S Euro Tavern;","Five Italian Cheese Fonduta",7.95
"Hard Rock Cafe","Fort Pitt Ale",5.22
"Baja Fresh","Chicken Salad Sandwich",12.5
"Johnny Mac's Scoreboard","Black Tie Mousse Cake",6.95
"Arlene's","Freeride APA",7.21
"Vault Night Club","Cappuccino",4.95
"Sportsman","Chicken Pot Stickers",10.95
"Bahama Breeze","Core Oatmeal Stout",7.03
"Karma Lounge Ltd","Rules are Rules",6.13
"Paradise City","Chargrilled Coulotte Steak",19.95
"Toc Bar","Crusted Chicken Romano",16.95
"Xtc Cabaret","First Press",1.18
"Señor Frog's","Roller Dam Red Ale",2.23
"County Line Pub","Unlimited Our Famous House Salad",6.95
"Kainoa's Sports Bar & Restrnt","Lost Sailor IPA",4.54
"Twin Peeks","Newport Storm IPA",11.4
"Niko's Lodge Bar & Grill","Clean Shave IPA",4.21
"Bluepoint Sage Cafe","Cheese Ravioli",11.95
"Maria C. Estabil","Extra Breadsticks!",3.95
"New West","Polar Pale Ale",3.1
"Benihana","Batch 69 IPA",10.44
"Iron Post","Factory Nachos",12.5
"Jack's Place","Fried Zucchini",5.95
"Sheffield Wine & Spirits Center","Classic Shrimp Scampi Fritta",9.95
"Jonathan's Restaurant","El Hefe Speaks",7.17
"Modoggies Bar & Grill","Rye Pils Session Lager",9.0
"Comedy Cellar","Pepperoni Pizza",13.95
"Houlihan's","Noche Dulce",2.7
"Toc Bar","Angry Orchard Crisp Apple",10.72
"Shanahan's Lafayette","El Hefe Speaks",7.17
"Grey Lounge","Ravioli di Portobello",11.95
"Rocket","Ginja Ninja",7.69
"Jack's Place","Southern Fried Chicken Sliders",10.95
"Arena","Firecracker Salmon",12.95
"Iron Post","Polar Pale Ale",3.1
"Don & Herb's Inc","Buffalo Wings",12.5
"Pivots Beach Club","Green Bullet Organic India Pale Ale",11.48
"Denny's","Clean Shave IPA",4.21
"Ad Card Promotions","Macaroni and Cheese",5.95
"Pei Wei Asian Diner","Classic Burger",12.95
"Baja Fresh","Portabella, Avocado, and Zucchini Fries",6.95
"Star Tavern & Pizzeria","Yo Soy Un Berliner",6.52
"Jack's Place","Dipping Sauces includes 4 Breadsticks",3.95
"Heart Attack Grill","Jamaican Black Pepper Shrimp",19.95
"The Cheesecake Factory","Double Brown Stout",11.11
"Improper Bostonian","Italian Ice Milkshake",4.95
"Planet Hollywood","Grilled Turkey Burger",13.95
"The Cheesecake Factory","Extra Breadsticks!",3.95
"Bob Evans Restaurants","Awry Rye Pale Ale",2.59
"Phebe's","Pepperoni Pizza",13.95
"MJ's","Orange Chicken",16.95
"Dave & Buster's","Bang-Bang Chicken and Shrimp",19.5
"Cork Town Tavern","Horny Toad Cerveza",10.59
"Jekyll & Hydes","Kids Rotini with Meat Sauce",5.95
"Hurricane Alley","Create A Sampler Italiano",9.95
"Toc Bar","Fried Mozzarella",5.95
"Arlene's","Zeppoli",6.95
"Baja Fresh","Mountain Livin' Pale Ale",2.85
"California Pizza Kitchen","312 Urban Wheat Ale",1.36
"Pei Wei Asian Diner","Chicken Parmigiana",11.95
"Monopole Restaurant","Bent Paddle Black Ale",8.22
"Casino El Camino Bar & Grill","Stuffed Chicken Tortillas",14.95
"Downtown Lounge","Macaroni and Cheese Burger",13.95
"P. F. Chang's China Bistro","Tomato Sauce with Choice of Pasta",5.95
"N V Penthouse Lounge","Create Your Own Pasta - Cucina Mia!",9.95
"Improper Bostonian","Quesadilla",9.95
"Perkins Restaurant and Bakery","Jade",7.81
"Chipotle Mexican Grill","Gutch English Style Mild Ale",12.78
"Buffalo Wild Wings","Salmon Piccata",11.95
"Hooters","Coq D'Or",9.59
"D & J Web Solutions","Wrath of Pele",8.87
"Vault Night Club","Cone Crusher",8.14
"Henrietta Hudson","London Balling",8.67
"Tradesman Tavern Inc","Pumpkin Beast",3.67
"Hooters","Terrace Hill Double IPA",4.33
"Texas Roadhouse","Devils Tramping Ground Tripel",2.96
"Off Broadway","North French",10.85
"Hoss's Steak and Sea House","Moose Drool Brown Ale",1.26
"Rainforest Cafe","Chargrilled Coulotte Steak",19.95
"Crystal Corner Bar","The Lawn Ranger",3.41
"Moms Toy Box","Lemon-Herb Roasted Chicken",18.5
"Niko's Lodge Bar & Grill","Heavy Lifting",12.2
"Double Down Saloon","Blood Orange Honey",6.29
"Outback Steakhouse","Shepherd's Pie",15.95
"Lone Star Athletic Football Club","White Zombie Ale",10.71
"Pub 13","Bang-Bang Chicken and Shrimp",19.5
"Steak 'n Shake","Sausage and Ricotta Flatbread",6.95
"Don & Herb's Inc","Pumpkin Beast",3.67
"Heart Attack Grill","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Lone Star Athletic Football Club","Black Exodus",12.77
"Boston Pizza","Grilled Chicken and Avocado Club",13.95
"Old Country Buffet","Oak Cliff Coffee Ale",7.78
"Rainforest Cafe","Four String Vanilla Porter",12.63
"Bertucci's","Dip Duo",1.95
"Cheese Burger in Paradise","Southwest Chicken Sandwich",13.5
"On the Border Mexican Grill & Cantina","Rye Pils Session Lager",9.0
"Basement","Underdog Atlantic Lager",8.28
"Brandy's","Awry Rye Pale Ale",2.59
"Stingers Sports Pub & Grill","Lasagna Dip",7.95
"Maria C. Estabil","Farmer Wirtz India Pale Ale",4.24
